classifier,dataset,perturbation,distance_metric,patch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp
MLP,BeetleFly,mean,dtw,102,90,1.0,0.85,0.15000000000000002,0.6,0.4
MLP,BeetleFly,mean,euclidean,102,90,1.0,0.8095238095238095,0.19047619047619047,0.5714285714285714,0.4285714285714286
MLP,BeetleFly,zero,dtw,102,90,1.0,0.8,0.19999999999999996,0.6,0.4
MLP,BeetleFly,zero,euclidean,102,90,1.0,0.8095238095238095,0.19047619047619047,0.5714285714285714,0.4285714285714286
MLP,BeetleFly,mean,dtw,108,90,1.0,0.8095238095238095,0.19047619047619047,0.42857142857142855,0.5714285714285714
MLP,BeetleFly,mean,euclidean,108,90,1.0,0.8333333333333334,0.16666666666666663,0.4444444444444444,0.5555555555555556
MLP,BeetleFly,zero,dtw,108,90,1.0,0.85,0.15000000000000002,0.45,0.55
MLP,BeetleFly,zero,euclidean,108,90,1.0,0.8,0.19999999999999996,0.4,0.6
MLP,BeetleFly,mean,dtw,114,90,1.0,0.8,0.19999999999999996,0.55,0.44999999999999996
MLP,BeetleFly,mean,euclidean,114,90,1.0,0.7894736842105263,0.21052631578947367,0.5789473684210527,0.42105263157894735
MLP,BeetleFly,zero,dtw,114,90,1.0,0.8,0.19999999999999996,0.55,0.44999999999999996
MLP,BeetleFly,zero,euclidean,114,90,1.0,0.8421052631578947,0.1578947368421053,0.631578947368421,0.368421052631579
MLP,BeetleFly,mean,dtw,120,90,1.0,0.8421052631578947,0.1578947368421053,0.7894736842105263,0.21052631578947367
MLP,BeetleFly,mean,euclidean,120,90,1.0,0.7894736842105263,0.21052631578947367,0.7368421052631579,0.26315789473684215
MLP,BeetleFly,zero,dtw,120,90,1.0,0.8421052631578947,0.1578947368421053,0.7894736842105263,0.21052631578947367
MLP,BeetleFly,zero,euclidean,120,90,1.0,0.8333333333333334,0.16666666666666663,0.7777777777777778,0.2222222222222222
MLP,BeetleFly,mean,dtw,126,90,1.0,0.8421052631578947,0.1578947368421053,0.7368421052631579,0.26315789473684215
MLP,BeetleFly,mean,euclidean,126,90,1.0,0.8421052631578947,0.1578947368421053,0.7368421052631579,0.26315789473684215
MLP,BeetleFly,zero,dtw,126,90,1.0,0.8333333333333334,0.16666666666666663,0.7222222222222222,0.2777777777777778
MLP,BeetleFly,zero,euclidean,126,90,1.0,0.8,0.19999999999999996,0.7,0.30000000000000004
MLP,BeetleFly,mean,dtw,12,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,mean,euclidean,12,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,zero,dtw,12,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,zero,euclidean,12,90,1.0,-1.0,2.0,-1.0,2.0
MLP,BeetleFly,mean,dtw,18,90,1.0,1.0,0.0,1.0,0.0
MLP,BeetleFly,mean,euclidean,18,90,1.0,1.0,0.0,1.0,0.0
MLP,BeetleFly,zero,dtw,18,90,1.0,1.0,0.0,1.0,0.0
MLP,BeetleFly,zero,euclidean,18,90,1.0,1.0,0.0,1.0,0.0
MLP,BeetleFly,mean,dtw,24,90,1.0,0.8,0.19999999999999996,0.4,0.6
MLP,BeetleFly,mean,euclidean,24,90,1.0,0.8,0.19999999999999996,0.4,0.6
MLP,BeetleFly,zero,dtw,24,90,1.0,0.8,0.19999999999999996,0.4,0.6
MLP,BeetleFly,zero,euclidean,24,90,1.0,0.75,0.25,0.25,0.75
MLP,BeetleFly,mean,dtw,30,90,1.0,0.5,0.5,0.4,0.6
MLP,BeetleFly,mean,euclidean,30,90,1.0,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.6666666666666667
MLP,BeetleFly,zero,dtw,30,90,1.0,0.5,0.5,0.4,0.6
MLP,BeetleFly,zero,euclidean,30,90,1.0,0.5,0.5,0.4,0.6
MLP,BeetleFly,mean,dtw,36,90,1.0,0.7,0.30000000000000004,0.3,0.7
MLP,BeetleFly,mean,euclidean,36,90,1.0,0.7272727272727273,0.2727272727272727,0.36363636363636365,0.6363636363636364
MLP,BeetleFly,zero,dtw,36,90,1.0,0.7,0.30000000000000004,0.3,0.7
MLP,BeetleFly,zero,euclidean,36,90,1.0,0.7272727272727273,0.2727272727272727,0.36363636363636365,0.6363636363636364
MLP,BeetleFly,mean,dtw,42,90,1.0,0.6666666666666666,0.33333333333333337,0.4444444444444444,0.5555555555555556
MLP,BeetleFly,mean,euclidean,42,90,1.0,0.6470588235294118,0.3529411764705882,0.47058823529411764,0.5294117647058824
MLP,BeetleFly,zero,dtw,42,90,1.0,0.625,0.375,0.5,0.5
MLP,BeetleFly,zero,euclidean,42,90,1.0,0.6470588235294118,0.3529411764705882,0.47058823529411764,0.5294117647058824
