classifier,dataset,interpolation,batch_size,threshold,acc_base,acc_zero_tp,change_zero_tp,acc_inve_tp,change_inve_tp,acc_mean_tp,change_mean_tp
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.65,0.2000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.35,0.5000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.25,0.6000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.15,0.7000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.15,0.7000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.05,0.8000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.05,0.8000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,10,21,0.8500000238418579,0.85,2.384185793236071e-08,0.0,0.8500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.5,0.3500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.35,0.5000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.2,0.650000023841858,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.15,0.7000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,11,21,0.8500000238418579,0.85,2.384185793236071e-08,0.1,0.7500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.6,0.25000002384185793,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.5,0.3500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.45,0.4000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.3,0.5500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.3,0.5500000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.25,0.6000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.15,0.7000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.15,0.7000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.15,0.7000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,12,21,0.8500000238418579,0.85,2.384185793236071e-08,0.15,0.7000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,13,21,0.8500000238418579,0.85,2.384185793236071e-08,0.55,0.30000002384185787,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,13,21,0.8500000238418579,0.85,2.384185793236071e-08,0.55,0.30000002384185787,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,13,21,0.8500000238418579,0.85,2.384185793236071e-08,0.35,0.5000000238418579,0.85,2.384185793236071e-08
MLP,BeetleFly,fourier,13,21,0.8500000238418579,0.85,2.384185793236071e-08,0.3,0.5500000238418579,0.85,2.384185793236071e-08
